plant_name,common_name,assamese_name,description,medicinal_uses,parts_used,family
Cissus_quadrangularis_LDevils_backbone,Devil's Backbone,Unknown,"Succulent plant with square stems.","Bone health, fracture healing.",Stems,Vitaceae
Citrus_aurantifolia_Christm._SwingleBitter_lime,Bitter Lime,Nimbu,"Thorny shrub with sour fruits.","Vitamin C, digestion.",Fruit,Rutaceae
Clerodendrum_colebrookianum_Walp.East_Indian_Clerodendrum,East Indian Clerodendrum,Unknown,"Shrubby tree, large leaves.","Blood pressure management.",Leaves,Lamiaceae
Clitoria_ternatea_LAsian_pigeon_wings,Asian Pigeon Wings,Aparajitha,"Climbing herb, blue flowers.","Brain tonic, stress relief.",Flower,Fabaceae
Cloranthus.elatiorTall_chloranthus,Tall Chloranthus,Unknown,"Woody shrub, white flowers.","Traditional tonic.",Whole plant,Chloranthaceae
Crinum_asiaticum_linn.Poison_bulb,Poison Bulb,Nagar,"Naturalized bulbous plant.","Anti-inflammatory, cancer.",Bulb,Amaryllidaceae
Croton_tiglium_L.Purging_croton,Purging Croton,Unknown,"Spreading shrub, toxic seeds.","Laxative (seed oil)",Seeds,Euphorbiaceae
Curculigo_orchioidesGolden_eye_grass,Golden Eye Grass,Unknown,"Herbaceous plant, tuberous roots.","Sexual health, vitality.",Root,Amaryllidaceae
Curcuma_augustifoliaEast_Indian_arrowroot,East Indian Arrowroot,Unknown,"Rhizomatous herb, arrowroot tubers.","Digestive aid.",Root,Zingiberaceae
Curcuma_caesia_Roxb.Black_turmeric,Black Turmeric,Unknown,"Turmeric with blue-black rhizomes.","Anti-inflammatory, wound healing.",Rhizome,Zingiberaceae
Curcuma_zedoaria_christm._roscoeWhite_turmeric,White Turmeric,Unknown,"Herb with pale turmeric rhizomes.","Digestive, anti-ulcer.",Rhizome,Zingiberaceae
Cymbopogon_nardus_L._rendleCitronella_grass,Citronella Grass,Unknown,"Tall grass, lemon scent.","Mosquito repellent, aromatherapy.",Leaves,Poaceae
Datura_metalHorn_of_Plenty,Horn of Plenty,Unknown,"Tropical shrub with trumpet flowers.","Asthma, pain relief (toxic!).",Leaves/S.B,Solanaceae
Dendrobium_nobileNoble_dendrobium,Noble Dendrobium,Unknown,"Orchid, long leafy stems.","Tonic herb.",Stem,Orchidaceae
Desmodium_gangeticumTick_tree,Tick Tree,Unknown,"Small shrubby perennial, purple flowers.","Antipyretic, cough.",Root/Fabaceae,Fabaceae
Eclipta_prostrataFalse_daisy,False Daisy,Bhringraj,"Weedy herb, used in hair oil.","Promotes hair growth.",Whole plant,Asteraceae
Elaeocarpus_robustus_RoxbCeylon_Olive,Ceylon Olive,Unknown,"Tall tree, greenish fruits.","Fruit tonic, flavoring.",Fruit,Elaeocarpaceae
Elaeocarpus_serratusIndian_olives_,Indian Olive,Jalpai,"Tall evergreen, edible olive fruit.","Nutritive, antioxidants.",Fruit,Elaeocarpaceae
Elettaria_cardamomum_L._maton_elachee,Elachi,Cardamom,"Perennial herb with spicy pods.","Digestive aid, flavoring.",Fruit pod,Zingiberaceae
Eryngium_foetidum_LCulantro,Culantro,Unknown,"Herb with a cilantro-like taste.","Culinary, digestive.",Leaves,Apiaceae
Etilingera_elatior_Jack_R.M.Sm.Alpinia_elatior,Alpinia Elatior,Unknown,"Flowering ginger, pink inflorescence.","Ornamental, culinary.",Stems,Zingiberaceae
Flemingia_strobilifera_L._W.T.AitonWild_hops,Wild Hops,Unknown,"Shrub with inflated pods and purple flowers.","Traditional fever and skin remedy.",Leaves,Fabaceae
Foeniculum_vulgareSweet_fennel,Sweet Fennel,Saunf,"Aromatic perennial with feathery leaves.","Used for digestion and breath freshener.",Seeds,Apiaceae
Garcinia_cowa_roxbCowa_mangosteen,Cowa Mangosteen,Unknown,"Small tree with edible sour fruits.","Fruit for digestive and liver health.",Fruit,Clusiaceae
Garcinia_morella_gaertn._Desr.Cowa_Mango,Cowa Mango,Singli-mingli,"Tree with yellowish edible fruit.","Liver tonic, rheumatism.",Fruit,Clusiaceae
Garcinia_pedunculata_Roxb._Ex_Buch.Ham.,Ramphal,Unknown,"Evergreen tree, round fruits.","Obesity, diabetes uses.",Fruit,Clusiaceae
Gardenia_JasminoidesGardenia,Gardenia,Gandharaj,"Evergreen shrub, white fragrant flowers.","Anxiety relief, mild sedation.",Flowers,Rubiaceae
Gymnema_sylvestre_Retz._R.Br.Ex_Sm.Australian_Milkwort,Gymnema,Gurmar,"Climber with oval leaves.","Anti-diabetic, suppresses sweet taste.",Leaves,Apocynaceae
Hedychium_spicatum_Buch._Ham._Ex_Sm.Spiked_ginger_lily,Spiked Ginger Lily,Cepa,"Aromatic herb, white spiked flowers.","Decongestant, carminative.",Rhizome,Zingiberaceae
Hellenia_speciosa_J.Koenig_Govaerts.Cape_ginger,Cape Ginger,Unknown,"Large tropical ginger with pink bracts.","Edible young shoots, stomach ailments.",Rhizome,Zingiberaceae
Hibiscus_rosasinensisRed_Hibiscus,Red Hibiscus,Joba,"Bush, big red flowers.","Flower paste for hair health, skin.",Flowers,Malvaceae
Homalomena_aromatica_schottGandhi_root,Gandhi Root,Unknown,"Aromatic rhizomatous herb.","Rhizome for flavor and aroma.",Rhizome,Araceae
Houttuynia_CordataFish_mint,Fish Mint,Gandhapurna,"Creeping herb with fishy smell.","Anti-inflammatory, detox.",Whole plant,Saururaceae
Hygrophila_AuriculataSwamp_weed,Swamp Weed,Unknown,"Aquatic herb, prickly stems.","Traditionally for kidney/diuretic use.",Root/Stem,Acanthaceae
Jatropha_Curcas_LPhysic_nut,Physic Nut,Jangli arandi,"Shrub, toxic seeds yield oil.","Purgative, biofuel.",Seeds,Euphorbiaceae
Justicia_Adhatoda_LMalabar_nut,Malabar Nut,Adulsa,"Shrub with white bilabiate flowers.","Cough, asthma (Vasicine alkaloid).",Leaves,Acanthaceae
Kaempferia_GalangaAromatic_ginger,Aromatic Ginger,Kacholam,"Small ginger, strong aromatic rhizome.","Expectorant, flavoring.",Rhizome,Zingiberaceae
Kalanchoe_Pinnata_Lam._PersMiracle_leaf,Miracle Leaf,Bryophyllum,"Succulent with leaf margin plantlets.","Wound healing, anti-inflammatory.",Leaves,Crassulaceae
Lasia_Spinosa_L._ThwaitesLesia,Lesia,Narkuchu,"Spiny herb, edible petioles.","Edible, anti-hemorrhoidal.",Petiole,Araceae
Lawsonia_inermis_LHenna,Henna,Mehendi,"Shrub with fragrant flowers.","Dye for hair/skin, cooling effect.",Leaves,Lythraceae
Leucas_aspera_LinkThumba,Thumba,Dronapushpi,"Annual, white tubular flowers.","Cough, insect repellent.",Leaves,Lamiaceae
Mentha_arvensis_LCorn_Mint,Corn Mint,Pudina,"Herb with strong mint aroma.","Digestive, cooling.",Leaves,Lamiaceae
Mesua_ferrea_L.Nagakesar,Nagakesar,Ironwood,"Evergreen tree, fragrant flowers.","Flower for wounds, seeds for oil.",Flower/Seed,Calophyllaceae
Mimusops_elengi_L.Spanish_cherry,Spanish Cherry,Bakul,"Medium tree, white scented flowers.","Flower used for oral health.",Flowers,Fabaceae
Murraya_koenigii_L.Curry_leaves,Curry Leaves,Meetha Neem,"Shrub with aromatic leaves.","Leaves for digestion, diabetes.",Leaves,Rutaceae
Nyctanthes_arbor_Tristis_L.Night_Blooming_Jasmine,Night Jasmine,Parijat,"Shrub, fragrant night flowers.","Flowers for fever, joint pain.",Flowers,Oleaceae
Ocimum_americanum_L.Hoary_basil,Hoary Basil,Unknown,"Aromatic herb with purplish stem.","Anti-inflammatory, antimicrobial.",Leaves,Lamiaceae
Ocimum_basilicumCommon_Basil,Common Basil,Babui Tulsi,"Herb with sweet-scented oval leaves.","Leaves for culinary, digestive use.",Leaves,Lamiaceae
Ocimum_tenuiflorumWhite_holy_basil,White Holy Basil,Rama Tulsi,"Herb sacred in India, white-green leaves.","Immunity booster, cold/cough.",Leaves,Lamiaceae
Operculina_turpethum_L._Silva_MansoTurpeth,Turpeth,Trivrit,"Perennial twining plant, thick roots.","Roots used as mild laxative and detox.",Roots,Convolvulaceae
Opuntia_vulgaris_MillPrickly_pear_,Prickly Pear,Naga Tamar,"Cactus, green pads and red fruit.","Fruit for diabetes, digestive health.",Fruit,Cactaceae
Oxalis_corniculata_L.Yellow_Oxalis,Yellow Oxalis,Changeri,"Small herb with trifoliate leaves.","Leaf juice for fever, stomach.",Leaves,Oxalidaceae
Paederia_foetida_L.Skunkvine,Skunkvine,Gandhali,"Climber, fetid smell when crushed.","Treats diarrhea, skin diseases.",Leaves,Rubiaceae
Paederia_scandensGandha_Prasarani,Prasarani,Unknown,"Climber with fragrant leaves.","Joint pain, inflammation.",Leaves,Rubiaceae
Passiflora_edulis_SimsPassion_fruit,Passion Fruit,Unknown,"Climber, purple/yellow sweet fruits.","Fruit pulp for relaxation, juice.",Fruit,Passifloraceae
Persicaria_chinensis_L._H.Gross.Creeping_Knotweed,Creeping Knotweed,Unknown,"Creeping herb, pink clusters.","Anti-inflammatory, wound healing.",Leaves,Polygonaceae
Phlogacanthus_thyrsiformis_Roxb._Ex_HarTeli_Kanduri,Teli Kanduri,Unknown,"Shrub with red tubular flowers.","Flowers and leaves for skin.",Flowers/Leaves,Acanthaceae
Phyllanthus_niruri_L.Country_gooseberry,Country Gooseberry,Bhumyamalaki,"Tiny herb, fruits under leaf.","Liver disorders, jaundice.",Whole plant,Phyllanthaceae
Picria_fel_terrae_Lour.Curanja,Curanja,Unknown,"Herb with lanceolate leaves.","Febrifuge, anti-viral.",Leaves,Picriaceae
Pimenta_dioica_L._Merr.Allspice,Allspice,Unknown,"Aromatic tree, berries taste like spice mix.","Spices for flavor and digestive aid.",Fruit,Myrcianthes
Piper_longum_L.Indian_Long_Pepper,Indian Long Pepper,Pippali,"Climber, long spike fruit.","Respiratory, digestive stimulant.",Fruit,Piperaceae
Piper_nigrum_L.Black_Piper,Black Pepper,Marica,"Climber, black round fruit.","Stimulant, antioxidant.",Fruit,Piperaceae
Plectranthus_amboinicus_Lour.Spreng.Indian_Borage,Indian Borage,Ajwain Patta,"Aromatic perennial, thick leaves.","Cough and cold remedy.",Leaves,Lamiaceae
Plumbago_zyelanica_L.White_lead_wort,White Leadwort,Chitrak,"Shrub with white flowers.","Root paste for digestion, skin.",Root,Plumbaginaceae
Pogostemon_benghalensis_kuntzeBengal_mint,Bengal Mint,Unknown,"Herb with aromatic leaves, square stems.","Leaves used for fever, aromatherapy.",Leaves,Lamiaceae
Psidium_guajava_L.Guava_Seed,Guava,Peruk,"Small tree, edible fruit.","Fruit and leaves assist in diarrhea, skin.",Fruit/Leaves,Myrtaceae
Rauvolfia_serpentina_Benth._Ex_KurzSerpent_root,Serpent Root,Sarpagandha,"Shrub, twisted roots.","Roots for hypertension, sleeplessness.",Roots,Apocynaceae
Rothcea_serrata_L._Steane_&_Mabb.Clerodendrum,Rothcea,Unknown,"Shrub with serrated leaves.","Leaves for cold/cough, malarial fever.",Leaves,Lamiaceae
Santalum_album_L.White_sandal_wood,White Sandalwood,Chandan,"Tree, aromatic wood.","Powder for skin, calming scent.",Wood,Santalaceae
Sapindus_mukorossiIndian_Soapberry,Indian Soapberry,Reetha,"Tree, soap-like fruit.","Used for washing/cleaning, dries scalp.",Fruit,Sapindaceae
Saraca_asoca_Roxb._Wildd.Ashoka,Ashoka,Unknown,"Small tree, bright orange flowers.","Bark for gynecological disorders.",Bark,Caesalpiniaceae
Senna_alata_L._Roxb.Ring_worm_shrub,Ringworm Shrub,Dadhi,"Shrub, large leaves used for skin.","Leaves applied for ringworm/fungal infections.",Leaves,Fabaceae
Simarouba_glauca_DC.Paradise_tree,Paradise Tree,Unknown,"Tropical tree, edible fruit.","Oil for dysentery, fruit for tonic.",Fruit/Seed,Simaroubaceae
Smilax.chinal.China_root,China Root,Unknown,"Climbing woody vine, thick roots.","Root treats venereal diseases, skin.",Root,Smilacaceae
Solanum_indicumBrihati,Brihati,Kantakari,"Spiny shrub, purple flowers and berries.","Fruit and root for cough, asthma.",Fruit/Root,Solanaceae
Spinacia_oleraceaSpinach,Spinach,Palak,"Edible leafy vegetable.","Rich source of iron, general tonic.",Leaves,Amaranthaceae
Stephania_japonica_Var._Discolor_Blume._Hand_Kan.Kaan_Kend,Kan Kend,Unknown,"Climber, tuberous roots.","Root for fever and inflammation.",Root,Menispermaceae
Stereospermum_chelonioides_DC.Parali,Parali,Padal,"Large tree, serrated leaves.","Leaves and bark for fever and digestion.",Leaves/Bark,Bignoniaceae
Streblus_asper_lour.Bar_inka,Bar Inka,Siah Tree,"Small tree, rough bark; ornamental.","Bark used for toothache, anti-parasitic.",Bark,Moraceae
Syzygium_cumini_L._skeelsMalabar_plum,Malabar Plum,Jamun,"Tree, dark purple edible berries.","Fruit for diabetes, leaf for oral health.",Fruit/Leaves,Myrtaceae
Tacca_chantrieri_andréBat_flower,Bat Flower,Unknown,"Exotic plant, black bat-like flowers.","Ornamental, traditional uses.",Roots,Taccaceae
Terminalia_arjunaWhite_Marudah,White Marudah,Arjun,"Large tree, straight trunk and spreading crown.","Bark used for cardiovascular support.",Bark,Combretaceae
Terminalia_bellirica_Gaertn._Roxb.Bedda_nut,Bedda Nut,Baheda,"Large deciduous tree, smooth globular fruit.","Fruit as laxative and for cough.",Fruit,Combretaceae
Terminalia_catappa_L.Indian_almond,Indian Almond,Desi Badam,"Large, tropical tree, oval nuts.","Nut and leaves for digestive, liver issues.",Nut/Leaves,Combretaceae
Terminalia_chebulaChebulic_myrobalan,Chebulic Myrobalan,Haritaki,"Medium tree, small ribbed fruit.","Fruit for digestion, anti-aging.",Fruit,Combretaceae
Tinospora_cordifoliaHeart_leaved_moonseed,Heart-leaved Moonseed,Guduchi,"Climbing shrub with heart-shaped leaves.","Stem and leaves boost immunity, anti-fever.",Stem/Leaves,Menispermaceae
Vanilla_planifoliaFlat_leaved_vanilla,Flat-leaved Vanilla,Unknown,"Climbing orchid, source of vanilla pods.","Flavoring, anti-depressant.",Pods,Orchidaceae
Vitex_negundo_L.Chinese_Chaste_Tree,Chinese Chaste Tree,Nirgundi,"Shrub with palmate aromatic leaves.","Pain relief, cold, anti-inflammatory.",Leaves,Verbenaceae
Zanthoxylum_nitidum_DC.Shiny_leaf_prickly_ash,Shiny Leaf Prickly Ash,Unknown,"Shrub/small tree with prickly stems.","Toothache remedy, mouth ulcers.",Root/Bark,Rutaceae
Zingiber_officinale_Rosc.Ginger_rhizome,Ginger,Ada,"Herb with knobby aromatic rhizome.","Digestive aid, anti-nausea, coughs.",Rhizome,Zingiberaceae
Ziziphus_Jujuba_Mill.Jujube,Jujube,Boroi,"Shrub or small tree, edible sweet fruits.","Fruit tonic, immunity support.",Fruit,Rhamnaceae
