plant_name,treatment,application,frequency
Mesua_ferrea_L.Nagakesar,Flower powder,Wound healing or as oil,Topical use
Mimusops_elengi_L.Spanish_cherry,Flower paste,For oral health,Topical on gums
Murraya_koenigii_L.Curry_leaves,Fresh leaves,Chew for digestion,Daily
Nyctanthes_arbor_Tristis_L.Night_Blooming_Jasmine,Flower decoction,Fever or joint pain,Daily
Ocimum_americanum_L.Hoary_basil,Leaf tea,Antimicrobial and immunity boost,Daily
Ocimum_basilicumCommon_Basil,Fresh leaves,Eaten raw for immunity,Daily
Ocimum_tenuiflorumWhite_holy_basil,Leaf extract,Immunity and cold remedy,Daily
Operculina_turpethum_L._Silva_MansoTurpeth,Root powder,Mild laxative with warm water,Once daily
Opuntia_vulgaris_MillPrickly_pear_,Fruit juice,Diabetes and thirst control,Daily
Oxalis_corniculata_L.Yellow_Oxalis,Leaf paste,Apply to skin or wounds,As needed
Paederia_foetida_L.Skunkvine,Leaf paste,Apply to skin or eat for diarrhea,As needed
Paederia_scandensGandha_Prasarani,Leaf decoction,Musculoskeletal pain,Daily
Passiflora_edulis_SimsPassion_fruit,Fruit pulp,Juice or sedative,Before sleep
Persicaria_chinensis_L._H.Gross.Creeping_Knotweed,Leaf extract,Wound healing,Topical
Phlogacanthus_thyrsiformis_Roxb._Ex_HarTeli_Kanduri,Flowers decoction,Skin or oral care,As needed

Picria_fel_terrae_Lour.Curanja,Leaf decoction,Antipyretic,Daily
Pimenta_dioica_L._Merr.Allspice,Seed powder,Spice for flavor,Daily
Piper_longum_L.Indian_Long_Pepper,Long pepper powder,Cough or digestion,Daily
Piper_nigrum_L.Black_Piper,Black pepper powder,Add to food or decoction for cough,Daily
Plectranthus_amboinicus_Lour.Spreng.Indian_Borage,Leaf decoction,Relieves cough and cold,2 times daily
Plumbago_zyelanica_L.White_lead_wort,Root paste,Apply on wounds/skin (doctor),As needed
Pogostemon_benghalensis_kuntzeBengal_mint,Leaf paste,Used for fever and headaches,Topical
Psidium_guajava_L.Guava_Seed,Leaf tea,Diarrhoea or gastro issues,2 times daily
Rauvolfia_serpentina_Benth._Ex_KurzSerpent_root,Root decoction,For hypertension (guided),Daily
Rothcea_serrata_L._Steane_&_Mabb.Clerodendrum,Leaf paste,Apply to boils or insect bites,Topical
Santalum_album_L.White_sandal_wood,Sandalwood paste,For skin cooling,As needed
Sapindus_mukorossiIndian_Soapberry,Fruit powder,Natural shampoo/cleaner,Hair/scalp wash
Saraca_asoca_Roxb._Wildd.Ashoka,Bark decoction,Women’s wellness,Once daily
Senna_alata_L._Roxb.Ring_worm_shrub,Leaf paste,Apply to ringworm infection,Topical daily
Simarouba_glauca_DC.Paradise_tree,Seed oil,Liver tonic (traditional),Additive
Smilax.chinal.China_root,Root decoction,Venerial disease and skin care,Daily
Solanum_indicumBrihati,Fruit decoction,Cough or asthma (Ayurveda),Daily
Spinacia_oleraceaSpinach,Fresh leaves,Eat as vegetable,Daily meals
Stephania_japonica_Var._Discolor_Blume._Hand_Kan.Kaan_Kend,Root powder,Anti-inflammatory or fever,Daily
Stereospermum_chelonioides_DC.Parali,Bark decoction,Fever or digestion,Daily
Streblus_asper_lour.Bar_inka,Bark decoction,Toothache remedy,Topical
Syzygium_cumini_L._skeelsMalabar_plum,Fruit pulp,Antidiabetic,Daily
Tacca_chantrieri_andréBat_flower,Tuber decoction,Traditional or edible use,Food daily
Terminalia_arjunaWhite_Marudah,Bark powder,Heart tonic,Daily
Terminalia_bellirica_Gaertn._Roxb.Bedda_nut,Seed powder,Laxative or digestive,Daily
Terminalia_catappa_L.Indian_almond,Leaf juice,Liver or digestive aid,Daily
Terminalia_chebulaChebulic_myrobalan,Fruit decoction,Digestion or constipation,Daily
Tinospora_cordifoliaHeart_leaved_moonseed,Stem decoction,Immunity or antipyretic,Daily
Vanilla_planifoliaFlat_leaved_vanilla,Pod extract,For flavoring or as anti-depressant,Daily use
Vitex_negundo_L.Chinese_Chaste_Tree,Leaf paste,Anti-inflammatory or joint pain,Topical daily
Zanthoxylum_nitidum_DC.Shiny_leaf_prickly_ash,Root decoction,Toothache or mouth ulcer,Topical as needed
Zingiber_officinale_Rosc.Ginger_rhizome,Fresh paste with honey,For cough or digestion,2 times daily
Ziziphus_Jujuba_Mill.Jujube,Fruit,As tonic or for immunity,Daily
